customer_id,txn_date,txn_type,txn_amount
429,2020-01-21,deposit,82
155,2020-01-10,deposit,712
398,2020-01-01,deposit,196
255,2020-01-14,deposit,563
185,2020-01-29,deposit,626
309,2020-01-13,deposit,995
312,2020-01-20,deposit,485
376,2020-01-03,deposit,706
188,2020-01-13,deposit,601
138,2020-01-11,deposit,520
373,2020-01-18,deposit,596
361,2020-01-12,deposit,797
169,2020-01-10,deposit,628
402,2020-01-05,deposit,435
60,2020-01-19,deposit,495
378,2020-01-07,deposit,193
383,2020-01-26,deposit,889
292,2020-01-10,deposit,136
63,2020-01-06,deposit,234
499,2020-01-02,deposit,147
130,2020-01-02,deposit,557
441,2020-01-12,deposit,418
53,2020-01-24,deposit,22
30,2020-01-26,deposit,33
305,2020-01-09,deposit,36
136,2020-01-11,deposit,882
276,2020-01-07,deposit,926
410,2020-01-07,deposit,601
152,2020-01-01,deposit,917
123,2020-01-16,deposit,423
17,2020-01-19,deposit,465
472,2020-01-18,deposit,495
100,2020-01-06,deposit,158
56,2020-01-18,deposit,864
455,2020-01-07,deposit,329
357,2020-01-20,deposit,780
480,2020-01-29,deposit,522
168,2020-01-13,deposit,114
369,2020-01-25,deposit,376
338,2020-01-17,deposit,628
296,2020-01-13,deposit,846
374,2020-01-08,deposit,117
194,2020-01-28,deposit,137
135,2020-01-09,deposit,949
21,2020-01-12,deposit,28
69,2020-01-10,deposit,124
32,2020-01-12,deposit,812
206,2020-01-09,deposit,811
269,2020-01-14,deposit,654
460,2020-01-29,deposit,80
328,2020-01-22,deposit,393
407,2020-01-14,deposit,804
351,2020-01-03,deposit,951
458,2020-01-04,deposit,715
339,2020-01-10,deposit,167
496,2020-01-06,deposit,47
291,2020-01-20,deposit,930
50,2020-01-29,deposit,899
265,2020-01-08,deposit,699
266,2020-01-17,deposit,651
93,2020-01-11,deposit,557
1,2020-01-02,deposit,312
267,2020-01-19,deposit,31
366,2020-01-21,deposit,965
92,2020-01-05,deposit,985
89,2020-01-25,deposit,210
129,2020-01-12,deposit,568
198,2020-01-17,deposit,571
26,2020-01-17,deposit,878
104,2020-01-25,deposit,989
466,2020-01-17,deposit,80
454,2020-01-08,deposit,603
117,2020-01-15,deposit,5
46,2020-01-23,deposit,356
96,2020-01-03,deposit,753
199,2020-01-20,deposit,530
55,2020-01-25,deposit,380
443,2020-01-28,deposit,760
317,2020-01-11,deposit,869
52,2020-01-12,deposit,908
249,2020-01-14,deposit,336
122,2020-01-29,deposit,397
59,2020-01-20,deposit,924
36,2020-01-30,deposit,149
74,2020-01-13,deposit,229
238,2020-01-18,deposit,896
334,2020-01-15,deposit,933
143,2020-01-29,deposit,807
406,2020-01-26,deposit,795
465,2020-01-28,deposit,955
230,2020-01-21,deposit,675
487,2020-01-15,deposit,39
346,2020-01-21,deposit,916
356,2020-01-11,deposit,568
142,2020-01-16,deposit,517
81,2020-01-25,deposit,403
128,2020-01-26,deposit,410
205,2020-01-02,deposit,608
380,2020-01-03,deposit,487
387,2020-01-22,deposit,180
95,2020-01-03,deposit,19
388,2020-01-09,deposit,833
91,2020-01-11,deposit,856
144,2020-01-14,deposit,559
68,2020-01-20,deposit,574
475,2020-01-03,deposit,552
247,2020-01-01,deposit,930
120,2020-01-23,deposit,824
500,2020-01-16,deposit,227
384,2020-01-12,deposit,352
311,2020-01-17,deposit,918
287,2020-01-22,deposit,658
112,2020-01-08,deposit,945
284,2020-01-30,deposit,257
67,2020-01-22,deposit,79
70,2020-01-08,deposit,786
236,2020-01-27,deposit,356
234,2020-01-03,deposit,236
420,2020-01-24,deposit,151
430,2020-01-20,deposit,829
330,2020-01-26,deposit,540
162,2020-01-10,deposit,123
394,2020-01-04,deposit,854
217,2020-01-08,deposit,783
5,2020-01-15,deposit,974
382,2020-01-03,deposit,140
137,2020-01-06,deposit,881
327,2020-01-14,deposit,299
412,2020-01-01,deposit,381
257,2020-01-20,deposit,493
416,2020-01-16,deposit,756
320,2020-01-10,deposit,725
109,2020-01-01,deposit,429
348,2020-01-22,deposit,26
375,2020-01-19,deposit,647
344,2020-01-07,deposit,816
261,2020-01-25,deposit,746
166,2020-01-22,deposit,957
367,2020-01-29,deposit,239
352,2020-01-21,deposit,416
108,2020-01-30,deposit,530
481,2020-01-02,deposit,42
331,2020-01-17,deposit,951
133,2020-01-10,deposit,279
293,2020-01-15,deposit,541
172,2020-01-12,deposit,548
215,2020-01-27,deposit,822
218,2020-01-29,deposit,208
20,2020-01-18,deposit,868
365,2020-01-25,deposit,595
98,2020-01-15,deposit,622
354,2020-01-23,deposit,822
10,2020-01-13,deposit,556
61,2020-01-21,deposit,319
160,2020-01-17,deposit,843
161,2020-01-08,deposit,526
147,2020-01-15,deposit,767
301,2020-01-20,deposit,32
14,2020-01-25,deposit,205
288,2020-01-13,deposit,586
219,2020-01-06,deposit,419
308,2020-01-14,deposit,782
418,2020-01-07,deposit,688
167,2020-01-30,deposit,51
350,2020-01-13,deposit,167
225,2020-01-10,deposit,280
187,2020-01-26,deposit,599
396,2020-01-01,deposit,334
304,2020-01-16,deposit,848
343,2020-01-01,deposit,859
62,2020-01-16,deposit,218
364,2020-01-10,deposit,563
207,2020-01-26,deposit,322
223,2020-01-11,deposit,431
73,2020-01-06,deposit,442
299,2020-01-13,deposit,881
16,2020-01-13,deposit,421
212,2020-01-02,deposit,336
381,2020-01-28,deposit,66
390,2020-01-15,deposit,102
165,2020-01-23,deposit,42
442,2020-01-26,deposit,553
332,2020-01-27,deposit,594
264,2020-01-16,deposit,41
64,2020-01-08,deposit,442
428,2020-01-15,deposit,280
227,2020-01-07,deposit,468
116,2020-01-28,deposit,167
134,2020-01-08,deposit,358
192,2020-01-20,deposit,906
452,2020-01-01,deposit,441
436,2020-01-05,deposit,401
176,2020-01-26,deposit,655
408,2020-01-21,deposit,514
490,2020-01-23,deposit,271
111,2020-01-28,deposit,101
